OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 7 [-],1997-020B,2023-04-16T13:34:28.144992,14.34760250,.0002241,86.3971,148.8504,96.6745,263.4706,0,U,24793,999,35820,.20329E-3,.595E-5,0
IRIDIUM 5 [-],1997-020D,2023-04-16T10:13:22.600128,14.83244431,.0134656,86.3911,85.3016,76.7117,284.9082,0,U,24795,999,36757,.77985E-3,.7516E-4,0
IRIDIUM 4 [-],1997-020E,2023-04-16T13:32:54.648960,14.35666270,.000215,86.3961,146.2575,90.7948,269.3495,0,U,24796,999,35870,.15836E-3,.476E-5,0
IRIDIUM 914 [-],1997-030A,2023-04-16T13:05:36.895488,14.39432138,.0001438,86.3961,157.1549,38.9159,321.2143,0,U,24836,999,49305,.22567E-3,.722E-5,0
IRIDIUM 16 [-],1997-030F,2023-04-16T05:50:19.906944,14.37338602,.0003858,86.4099,178.1091,120.1875,239.9705,0,U,24841,999,35305,.22811E-3,.7E-5,0
IRIDIUM 911 [-],1997-030G,2023-04-16T13:13:52.503168,14.45795863,.0013334,86.4525,177.4498,208.7676,151.2793,0,U,24842,999,36049,.2716E-3,.984E-5,0
IRIDIUM 17 [-],1997-034B,2023-04-16T08:39:36.608832,14.36431991,.0003919,86.4029,207.7032,93.5577,266.6069,0,U,24870,999,34972,.27422E-3,.823E-5,0
IRIDIUM 920 [-],1997-034C,2023-04-16T07:00:39.094560,14.40146341,.0012299,86.4048,188.8583,164.8221,195.3349,0,U,24871,999,35241,.22792E-3,.74E-5,0
IRIDIUM 921 [-],1997-034E,2023-04-16T12:57:32.284800,15.21236806,.0009178,86.3877,136.1056,79.9216,280.3063,0,U,24873,999,40986,.6827E-3,.153E-3,0
IRIDIUM 26 [-],1997-043A,2023-04-16T10:32:41.052192,14.35840420,.0002187,86.3921,83.1587,92.2652,267.8795,0,U,24903,999,34294,.31789E-3,.94E-5,0
IRIDIUM 22 [-],1997-043E,2023-04-16T10:44:38.037408,14.34759472,.0002202,86.3920,86.0600,86.8598,273.2850,0,U,24907,999,34306,.29542E-3,.856E-5,0
